Size,Put,Get,GetOrDefault,ContainsKey,ContainsValue,RemoveKey,RemoveKeyValue,Replace,ReplaceOldNew,PutIfAbsent,Clear
1,5,1,1,1,1,3,1,1,1,1,1
10,6,4,4,3,13,6,7,6,7,8,0
50,33,16,18,19,228,19,20,16,18,11,2
100,38,18,18,10,454,33,37,19,21,15,3
250,73,25,30,28,492,35,41,43,51,37,7
500,138,60,63,49,2663,59,56,53,67,62,14
1000,299,79,95,74,5504,74,98,83,108,93,27
2500,551,135,186,133,11461,189,221,197,253,206,54
5000,1021,277,358,265,40028,693,230,158,209,179,115
10000,1528,220,239,222,200572,220,241,304,342,277,210
25000,5655,332,322,1263,3168817,400,480,288,308,428,930
50000,3063,869,1180,1115,12618129,982,1153,860,912,1089,83
